Evento;Sitio;Fecha;Ronda;Blancas;Negras;Resultado;ELO Blancas;ELO Negras;Apertura;Movimientos;Lista_movimientos;Número de movimientos;Apertura_10_movimientos
Rated rapid game;https://lichess.org/XB64BfcF;2024.09.16;?;Salvaje_Unitario;rom7610;0-1;1214;1086;;e4 e5 Nf3 Nc6 Bc4 Na5 Qe2 Nxc4 Qxc4 f6 d4 b6 dxe5 fxe5 Nxe5 Nh6 Bxh6 Qf6 Bf4 Qxf4 Qd5 c6 Qd4 Qc1+ Qd1 Qg5 f4 Qxg2 Rf1 Qxe4+ Kf2 Qxf4+ Kg1 Qxe5 Re1 Qxe1+ Qxe1+ Be7 Nc3 Rf8 Qe3 Kd8 Re1 Bc5;['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Na5', 'Qe2', 'Nxc4', 'Qxc4', 'f6', 'd4', 'b6', 'dxe5', 'fxe5', 'Nxe5', 'Nh6', 'Bxh6', 'Qf6', 'Bf4', 'Qxf4', 'Qd5', 'c6', 'Qd4', 'Qc1+', 'Qd1', 'Qg5', 'f4', 'Qxg2', 'Rf1', 'Qxe4+', 'Kf2', 'Qxf4+', 'Kg1', 'Qxe5', 'Re1', 'Qxe1+', 'Qxe1+', 'Be7', 'Nc3', 'Rf8', 'Qe3', 'Kd8', 'Re1', 'Bc5'];44;e4 e5 Nf3 Nc6 Bc4 Na5 Qe2 Nxc4 Qxc4 f6
Rated rapid game;https://lichess.org/N1P5383l;2024.09.16;?;So_and_Saw;Salvaje_Unitario;0-1;1199;1205;;d4 Nf6 Nc3 e6 Bf4 Bd6 e3 Bxf4 exf4 d5 Nf3 Bd7 Bd3 Nc6 Ne5 Nb4 Nxd7 Qxd7 Bb5 c6 Ba4 b5 Bb3 O-O a3 Rae8 axb4 Ne4 Nxe4 dxe4 c3 e5 O-O Qf5 g3 exf4 Bc2 f3 Rxa7 Qh3 Qxf3 exf3 Be4 Qg2#;['d4', 'Nf6', 'Nc3', 'e6', 'Bf4', 'Bd6', 'e3', 'Bxf4', 'exf4', 'd5', 'Nf3', 'Bd7', 'Bd3', 'Nc6', 'Ne5', 'Nb4', 'Nxd7', 'Qxd7', 'Bb5', 'c6', 'Ba4', 'b5', 'Bb3', 'O-O', 'a3', 'Rae8', 'axb4', 'Ne4', 'Nxe4', 'dxe4', 'c3', 'e5', 'O-O', 'Qf5', 'g3', 'exf4', 'Bc2', 'f3', 'Rxa7', 'Qh3', 'Qxf3', 'exf3', 'Be4', 'Qg2#'];44;d4 Nf6 Nc3 e6 Bf4 Bd6 e3 Bxf4 exf4 d5
Rated rapid game;https://lichess.org/7aef0X0e;2024.09.16;?;Salvaje_Unitario;VIRAJc89;0-1;1215;1182;;e4 e5 Nf3 Nf6 Nc3 d5 exd5 Nxd5 Nxe5 Nxc3 bxc3 Qe7 d4 f6 Qh5+ g6 Ba3 Qxa3 Nxg6 Qxc3+ Ke2 hxg6 Qxh8 Qxa1 Qxf6 Bf5 Qe5+ Be7 Qxc7 Be4 f3 Bd5 Qe5 Qxa2 Qh8+ Bg8 Kf2 Qxc2+ Kg3 Bd6+ Kh3 Qf5+ g4 Qxf3+ Kh4 Qxh1 Qxg8+ Bf8 Qxg6+ Ke7 Qh7+ Ke8 Bb5+ Kd8 Qxb7;['e4', 'e5', 'Nf3', 'Nf6', 'Nc3', 'd5', 'exd5', 'Nxd5', 'Nxe5', 'Nxc3', 'bxc3', 'Qe7', 'd4', 'f6', 'Qh5+', 'g6', 'Ba3', 'Qxa3', 'Nxg6', 'Qxc3+', 'Ke2', 'hxg6', 'Qxh8', 'Qxa1', 'Qxf6', 'Bf5', 'Qe5+', 'Be7', 'Qxc7', 'Be4', 'f3', 'Bd5', 'Qe5', 'Qxa2', 'Qh8+', 'Bg8', 'Kf2', 'Qxc2+', 'Kg3', 'Bd6+', 'Kh3', 'Qf5+', 'g4', 'Qxf3+', 'Kh4', 'Qxh1', 'Qxg8+', 'Bf8', 'Qxg6+', 'Ke7', 'Qh7+', 'Ke8', 'Bb5+', 'Kd8', 'Qxb7'];55;e4 e5 Nf3 Nf6 Nc3 d5 exd5 Nxd5 Nxe5 Nxc3
Rated rapid game;https://lichess.org/U6q29LLH;2024.09.08;?;JasonPolmateer;Salvaje_Unitario;0-1;1145;1208;;e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 d6 Bc4 c5 Qd5 Be6 Qd3 a6 O-O Be7 Nc3 Nf6 Bxe6 fxe6 Bg5 O-O Rfe1 h6 Bh4 Ng4 Bxe7 Qxe7 h3 Nxf2 Qe3 Qh4 Rf1 Rf3 gxf3 Nxh3+ Kg2 Nf4+ Kg1 Qg3+ Kh1 Qg2#;['e4', 'e5', 'Nf3', 'Nc6', 'd4', 'exd4', 'Nxd4', 'Nxd4', 'Qxd4', 'd6', 'Bc4', 'c5', 'Qd5', 'Be6', 'Qd3', 'a6', 'O-O', 'Be7', 'Nc3', 'Nf6', 'Bxe6', 'fxe6', 'Bg5', 'O-O', 'Rfe1', 'h6', 'Bh4', 'Ng4', 'Bxe7', 'Qxe7', 'h3', 'Nxf2', 'Qe3', 'Qh4', 'Rf1', 'Rf3', 'gxf3', 'Nxh3+', 'Kg2', 'Nf4+', 'Kg1', 'Qg3+', 'Kh1', 'Qg2#'];44;e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 d6
Rated rapid game;https://lichess.org/sxiSKcHG;2024.09.06;?;Sushant1730;Salvaje_Unitario;1-0;1233;1215;;e4 e5 d4 exd4 Qxd4 Nc6 Qd1 Qe7 Nc3 Nf6 Bd3 g6 Nf3 Bg7 O-O O-O Re1 b6 h3 Bb7 a3 Rae8 Bg5 h6 Bf4 d6 Nd5 Qe6 Nxc7;['e4', 'e5', 'd4', 'exd4', 'Qxd4', 'Nc6', 'Qd1', 'Qe7', 'Nc3', 'Nf6', 'Bd3', 'g6', 'Nf3', 'Bg7', 'O-O', 'O-O', 'Re1', 'b6', 'h3', 'Bb7', 'a3', 'Rae8', 'Bg5', 'h6', 'Bf4', 'd6', 'Nd5', 'Qe6', 'Nxc7'];29;e4 e5 d4 exd4 Qxd4 Nc6 Qd1 Qe7 Nc3 Nf6
Rated rapid game;https://lichess.org/XmU03pkw;2024.09.04;?;Salvaje_Unitario;Kirill_015;1-0;1207;1230;;e4 e6 Nf3 b6 Bc4 Bb7 Nc3 Bb4 a3 Bxc3 bxc3 Bxe4 d3 Bb7 Ne5 Bxg2 Rg1 Bh3 Qf3 d5 Qxf7#;['e4', 'e6', 'Nf3', 'b6', 'Bc4', 'Bb7', 'Nc3', 'Bb4', 'a3', 'Bxc3', 'bxc3', 'Bxe4', 'd3', 'Bb7', 'Ne5', 'Bxg2', 'Rg1', 'Bh3', 'Qf3', 'd5', 'Qxf7#'];21;e4 e6 Nf3 b6 Bc4 Bb7 Nc3 Bb4 a3 Bxc3
Rated rapid game;https://lichess.org/lHLY3Hyj;2024.09.04;?;Parth_Sanghvi;Salvaje_Unitario;1-0;1234;1214;;b3 e5 e4 Nc6 Bb2 Nf6 Nc3 Bb4 Qf3 O-O a3 Bc5 b4 Bb6 Bc4 Nd4 Qd3 d6 Nf3 c5 O-O Bg4 Nxd4 exd4 Nd5 Nxd5 Bxd5 Kh8 h3 Be6 Bxb7 Rb8 Bd5 Qe7 Rae1 Qg5 f4 Qg6 f5;['b3', 'e5', 'e4', 'Nc6', 'Bb2', 'Nf6', 'Nc3', 'Bb4', 'Qf3', 'O-O', 'a3', 'Bc5', 'b4', 'Bb6', 'Bc4', 'Nd4', 'Qd3', 'd6', 'Nf3', 'c5', 'O-O', 'Bg4', 'Nxd4', 'exd4', 'Nd5', 'Nxd5', 'Bxd5', 'Kh8', 'h3', 'Be6', 'Bxb7', 'Rb8', 'Bd5', 'Qe7', 'Rae1', 'Qg5', 'f4', 'Qg6', 'f5'];39;b3 e5 e4 Nc6 Bb2 Nf6 Nc3 Bb4 Qf3 O-O
Rated rapid game;https://lichess.org/oY5nQ6UZ;2024.09.04;?;milzral;Salvaje_Unitario;0-1;1295;1204;;e4 e5 d3 Nc6 Nf3 Bc5 Be2 d5 O-O d4 c3 Nf6 Qb3 b6 Ng5 O-O Nf3 Bg4 h3 Bh5 Bg5 h6 Bxf6 Qxf6 cxd4 exd4 g4 Bg6 Nbd2 h5 Nh2 hxg4 Nxg4 Qg5 Nf3 Qh5 Kh2 Bd6+ e5 Nxe5 Nfxe5 Bxe5+ f4 Bd6 Qd5 Qxd5 Bf3 Qc5 Bxa8 Rxa8 Kg3 Bxd3 Rac1 Qg5 h4 Qb5 Rfd1 Qxb2 a4 Qa3 Ra1 Qc3 Nf2 Bc2+ Kg4 f5+ Kg5 Qg3+ Kh5 Qxf2 Rxd4 Qxd4;['e4', 'e5', 'd3', 'Nc6', 'Nf3', 'Bc5', 'Be2', 'd5', 'O-O', 'd4', 'c3', 'Nf6', 'Qb3', 'b6', 'Ng5', 'O-O', 'Nf3', 'Bg4', 'h3', 'Bh5', 'Bg5', 'h6', 'Bxf6', 'Qxf6', 'cxd4', 'exd4', 'g4', 'Bg6', 'Nbd2', 'h5', 'Nh2', 'hxg4', 'Nxg4', 'Qg5', 'Nf3', 'Qh5', 'Kh2', 'Bd6+', 'e5', 'Nxe5', 'Nfxe5', 'Bxe5+', 'f4', 'Bd6', 'Qd5', 'Qxd5', 'Bf3', 'Qc5', 'Bxa8', 'Rxa8', 'Kg3', 'Bxd3', 'Rac1', 'Qg5', 'h4', 'Qb5', 'Rfd1', 'Qxb2', 'a4', 'Qa3', 'Ra1', 'Qc3', 'Nf2', 'Bc2+', 'Kg4', 'f5+', 'Kg5', 'Qg3+', 'Kh5', 'Qxf2', 'Rxd4', 'Qxd4'];72;e4 e5 d3 Nc6 Nf3 Bc5 Be2 d5 O-O d4
Rated rapid game;https://lichess.org/bFe8xaoK;2024.08.23;?;mrdibaji1986;Salvaje_Unitario;1-0;1225;1210;;e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 O-O O-O Bg5 h6 Bh4 Nd4 Nc3 d6 Nxd4 Bxd4 Rb1 Be6 Bxe6 fxe6 Nb5 g5 Nxd4 exd4 Bg3 d5 exd5 Nxd5 a3 Qf6 Qe2 Nf4 Bxf4 Qxf4 Qxe6+ Kh8 Qxh6+ Kg8 Qg6+ Kh8 Rfe1 Rg8 Qh6#;['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'd3', 'Bc5', 'O-O', 'O-O', 'Bg5', 'h6', 'Bh4', 'Nd4', 'Nc3', 'd6', 'Nxd4', 'Bxd4', 'Rb1', 'Be6', 'Bxe6', 'fxe6', 'Nb5', 'g5', 'Nxd4', 'exd4', 'Bg3', 'd5', 'exd5', 'Nxd5', 'a3', 'Qf6', 'Qe2', 'Nf4', 'Bxf4', 'Qxf4', 'Qxe6+', 'Kh8', 'Qxh6+', 'Kg8', 'Qg6+', 'Kh8', 'Rfe1', 'Rg8', 'Qh6#'];45;e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 O-O O-O
Rated rapid game;https://lichess.org/jrPAMa0K;2024.08.23;?;Salvaje_Unitario;Becomes;1-0;1203;1200;;e4 c6 Nf3 d5 e5 Nd7 d4 f6 Nh4 c5 Qh5+ g6 Nxg6;['e4', 'c6', 'Nf3', 'd5', 'e5', 'Nd7', 'd4', 'f6', 'Nh4', 'c5', 'Qh5+', 'g6', 'Nxg6'];13;e4 c6 Nf3 d5 e5 Nd7 d4 f6 Nh4 c5
